Excel Name,Excel Affiliation,Excel Country,Candidate ORCID,API Name,API Affiliation,API Country,Name Score,Affiliation Score,Country Match,Overall Score,Recommendation,Sources
Tatjana Atanasova - Pachemska,Republic Of Macedonia Goce Delcev State University Stip,North Macedonia (MK),0000-0001-6740-9327,Tatjana Atanasova-Pachemska,"University ""Goce Delcev"", Stip, REPUBLIC OF NORTH MACEDONIA",,92.9,51.2,No,55.1,LOW_CONFIDENCE,Crossref
Tatjana Atanasova - Pachemska,Republic Of Macedonia Goce Delcev State University Stip,North Macedonia (MK),0000-0002-0325-6349,Sanela Nesimović,"University of Sarajevo - Faculty of Educational Sciences, Sarajevo, BOSNIA & HERZEGOVINA",,40.0,45.5,No,31.9,NO_MATCH,Crossref
Tatjana Atanasova - Pachemska,Republic Of Macedonia Goce Delcev State University Stip,North Macedonia (MK),0000-0003-1777-8006,Belma Alihodžić,"The First Bosniak High School Sarajevo, Sarajevo, BOSNIA & HERZEGOVINA",,27.3,40.0,No,24.9,NO_MATCH,Crossref
Tatjana Atanasova - Pachemska,Republic Of Macedonia Goce Delcev State University Stip,North Macedonia (MK),0000-0002-0875-7900,Vasilija Sarac,,,37.2,0,No,14.9,NO_MATCH,Crossref
Enis Kayis,Ozyegin Universitesi,Türkiye (TR),0000-0001-8282-5572,Enis Kayış,,,90.0,0,No,36.0,NO_MATCH,OpenAlex
Enis Kayis,Ozyegin Universitesi,Türkiye (TR),0000-0003-0645-0806,Enis Konacakli,,,66.7,0,No,26.7,NO_MATCH,Crossref
Enis Kayis,Ozyegin Universitesi,Türkiye (TR),0000-0002-3595-8783,Enis Karaarslan,,,64.0,0,No,25.6,NO_MATCH,Crossref
Antoni Jaume i Capó,Universitat De Les Illes Balears,Spain (ES),0000-0003-3312-5347,Antoni Jaume-i-Capó,Universitat de les Illes Balears,ES,63.2,100.0,No,60.3,LOW_CONFIDENCE,"ORCID, OpenAlex"
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0001-8832-8091,Juan Carlos Mateus Sanchez,,BR,84.6,0,No,33.8,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0002-9330-1747,Juan Carlos Sanchez,,EC,84.4,0,No,33.8,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0001-8567-321X,juan carlos rueda sanchez,,PE,82.4,0,No,32.9,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0002-3596-7911,JUAN CARLOS SANCHEZ-RAVE,,,76.0,0,No,30.4,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0009-0000-8162-8841,JUAN CARLOS SANCHEZ DIAZ,,PE,76.0,0,No,30.4,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0002-3490-6455,Juan Carlos Sanchez-Lopez,,,74.5,0,No,29.8,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0003-4765-3458,Juan Carlos Benito Sanchez,,BE,73.1,0,No,29.2,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0001-6431-631X,Juan Carlos Abanto Sanchez,,PE,73.1,0,No,29.2,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0002-4412-4334,Juan Carlos Gonzalez Sanchez,,CO,70.4,0,No,28.1,NO_MATCH,ORCID
Juan Carlos Nieves Sanchez,Umea Universitet,Sweden (SE),0000-0002-6063-8941,Juan Carlos Sanchez Castellanos Barraza,,,58.5,0,No,23.4,NO_MATCH,ORCID
Jaan Übi,,,NO_CANDIDATES_FOUND,,,,,,,,NO_CANDIDATES,
Stoyan Mishev,New Bulgarian University,Bulgaria (BG),0009-0008-2225-9933,Stoyan Mishev,,,100.0,0,No,40.0,NO_MATCH,ORCID
Tomaso Aste,University College London (UCL),United Kingdom (UK),0000-0002-4219-0215,Tomaso Aste,London School of Economics and Political Science,GB,100.0,40.9,No,54.3,LOW_CONFIDENCE,"ORCID, OpenAlex, Crossref"
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0001-5004-6101,Maria Luisa Morgado,,,100.0,0,No,40.0,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0001-6651-685X,Maria Inês Morgado,,,86.5,0,No,34.6,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0009-0004-4826-1194,Maria Luisa Ramirez Morgado ,,,82.6,0,No,33.0,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0009-0007-5261-1590,Maria Morgado,,,81.2,0,No,32.5,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0002-5781-5214,graça maria morgado,,,78.9,0,No,31.6,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0003-0216-3666,Maria Gabriela Morgado,,CL,78.0,0,No,31.2,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0002-0000-1586,Maria Beatriz Morgado,,PT,75.0,0,No,30.0,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0009-0002-1750-2528,Maria Luisa Morgado Nogueira Lima,,,73.1,0,No,29.2,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0001-5091-1775,MARIA PILAR MORGADO,,,68.4,0,No,27.4,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0009-0006-2890-3043,Maria Teresa Morgado,,,66.7,0,No,26.7,NO_MATCH,ORCID
Maria Luisa Morgado,Universidade de Trás-os-Montes e Alto Douro,Portugal (PT),0000-0002-6632-3086,Joao Marques-Silva,,,37.8,0,No,15.1,NO_MATCH,Crossref
Goran Petkovski,"Ss. Cyril and Methodius University, Faculty of Computer Science and Engineering",North Macedonia (MK),0009-0006-7229-7941,Filip Petkovski,"Independent Researcher, 1000 Skopje, North Macedonia",,66.7,36.5,No,39.5,NO_MATCH,Crossref
Aleks Huc,University of Ljubljana,Slovenia (SI),0000-0002-0251-9055,Aleks Huc,,,100.0,0,No,40.0,NO_MATCH,Crossref
Aleks Huc,University of Ljubljana,Slovenia (SI),0000-0003-0727-1324,Denis Trcek,,,40.0,0,No,16.0,NO_MATCH,Crossref
Aleks Huc,University of Ljubljana,Slovenia (SI),0000-0001-8730-9366,Mira Trebar,,,20.0,0,No,8.0,NO_MATCH,Crossref
Paola Vicard,Università degli Studi Roma Tre,Italy (IT),0000-0002-4103-7868,Paola Vicard,Roma Tre University,IT,100.0,64.3,No,62.5,LOW_CONFIDENCE,"ORCID, OpenAlex, Crossref"
Silvija Vlah Jerić,Sveuciliste U Zagrebu Ekonomski Fakultet,Croatia (HR),0000-0003-4738-6337,Silvija Vlah Jerić,University of Zagreb,HR,100.0,60.0,No,61.0,LOW_CONFIDENCE,"ORCID, OpenAlex, Crossref"
